timestamp, bus_id, module_id, power.draw [W], temperature.aip [C], utilization.aip [%], memory.used [MiB]
Thu Jan 30 14:39:05 IST 2025, 0000:21:00.0, 7, 257, 31, 0, 109783
Thu Jan 30 14:39:05 IST 2025, 0000:9a:00.0, 0, 334, 33, 0, 109783
Thu Jan 30 14:39:05 IST 2025, 0000:9b:00.0, 1, 265, 30, 0, 109784
Thu Jan 30 14:39:05 IST 2025, 0000:22:00.0, 6, 293, 29, 0, 109783
Thu Jan 30 14:39:05 IST 2025, 0000:ae:00.0, 2, 257, 29, 0, 109782
Thu Jan 30 14:39:05 IST 2025, 0000:35:00.0, 4, 217, 33, 0, 109783
Thu Jan 30 14:39:05 IST 2025, 0000:af:00.0, 3, 281, 32, 0, 111169
Thu Jan 30 14:39:05 IST 2025, 0000:34:00.0, 5, 279, 29, 0, 109783
Thu Jan 30 14:39:06 IST 2025, 0000:21:00.0, 7, 230, 31, 0, 109783
Thu Jan 30 14:39:06 IST 2025, 0000:9a:00.0, 0, 224, 33, 0, 109783
Thu Jan 30 14:39:06 IST 2025, 0000:9b:00.0, 1, 213, 30, 0, 109784
Thu Jan 30 14:39:06 IST 2025, 0000:22:00.0, 6, 252, 29, 0, 109783
Thu Jan 30 14:39:06 IST 2025, 0000:ae:00.0, 2, 231, 29, 0, 109782
Thu Jan 30 14:39:06 IST 2025, 0000:35:00.0, 4, 251, 33, 0, 109783
Thu Jan 30 14:39:06 IST 2025, 0000:af:00.0, 3, 229, 32, 0, 110937
Thu Jan 30 14:39:06 IST 2025, 0000:34:00.0, 5, 224, 29, 0, 109783
Thu Jan 30 14:39:07 IST 2025, 0000:21:00.0, 7, 215, 31, 0, 109783
Thu Jan 30 14:39:07 IST 2025, 0000:9a:00.0, 0, 226, 33, 0, 109783
Thu Jan 30 14:39:07 IST 2025, 0000:9b:00.0, 1, 212, 30, 0, 109784
Thu Jan 30 14:39:07 IST 2025, 0000:22:00.0, 6, 217, 29, 23, 109783
Thu Jan 30 14:39:07 IST 2025, 0000:ae:00.0, 2, 216, 29, 24, 109782
Thu Jan 30 14:39:07 IST 2025, 0000:35:00.0, 4, 218, 33, 24, 109783
Thu Jan 30 14:39:07 IST 2025, 0000:af:00.0, 3, 216, 32, 0, 110937
Thu Jan 30 14:39:07 IST 2025, 0000:34:00.0, 5, 213, 29, 0, 109838
Thu Jan 30 14:39:08 IST 2025, 0000:21:00.0, 7, 214, 31, 23, 109783
Thu Jan 30 14:39:08 IST 2025, 0000:9a:00.0, 0, 215, 33, 0, 109781
Thu Jan 30 14:39:08 IST 2025, 0000:9b:00.0, 1, 211, 30, 0, 110002
Thu Jan 30 14:39:08 IST 2025, 0000:22:00.0, 6, 214, 29, 0, 109781
Thu Jan 30 14:39:08 IST 2025, 0000:ae:00.0, 2, 215, 29, 27, 109782
Thu Jan 30 14:39:08 IST 2025, 0000:35:00.0, 4, 218, 33, 0, 109781
Thu Jan 30 14:39:08 IST 2025, 0000:af:00.0, 3, 216, 32, 24, 110937
Thu Jan 30 14:39:08 IST 2025, 0000:34:00.0, 5, 212, 29, 0, 109783
Thu Jan 30 14:39:09 IST 2025, 0000:21:00.0, 7, 215, 31, 0, 110029
Thu Jan 30 14:39:09 IST 2025, 0000:9a:00.0, 0, 217, 33, 0, 109784
Thu Jan 30 14:39:09 IST 2025, 0000:9b:00.0, 1, 212, 30, 23, 109782
Thu Jan 30 14:39:09 IST 2025, 0000:22:00.0, 6, 215, 29, 0, 109785
Thu Jan 30 14:39:09 IST 2025, 0000:ae:00.0, 2, 281, 29, 0, 109782
Thu Jan 30 14:39:09 IST 2025, 0000:35:00.0, 4, 219, 33, 24, 109784
Thu Jan 30 14:39:09 IST 2025, 0000:af:00.0, 3, 217, 32, 0, 110940
