timestamp, bus_id, module_id, power.draw [W], temperature.aip [C], utilization.aip [%], memory.used [MiB]
Thu Jan 30 15:16:02 IST 2025, 0000:21:00.0, 7, 480, 31, 53, 109814
Thu Jan 30 15:16:02 IST 2025, 0000:9a:00.0, 0, 486, 33, 54, 110023
Thu Jan 30 15:16:02 IST 2025, 0000:9b:00.0, 1, 477, 30, 53, 109828
Thu Jan 30 15:16:02 IST 2025, 0000:22:00.0, 6, 481, 29, 51, 109818
Thu Jan 30 15:16:02 IST 2025, 0000:ae:00.0, 2, 485, 29, 53, 109816
Thu Jan 30 15:16:02 IST 2025, 0000:35:00.0, 4, 483, 33, 50, 109905
Thu Jan 30 15:16:02 IST 2025, 0000:af:00.0, 3, 482, 32, 48, 111149
Thu Jan 30 15:16:02 IST 2025, 0000:34:00.0, 5, 476, 29, 53, 110006
Thu Jan 30 15:16:03 IST 2025, 0000:21:00.0, 7, 478, 31, 53, 109928
Thu Jan 30 15:16:03 IST 2025, 0000:9a:00.0, 0, 486, 33, 54, 109973
Thu Jan 30 15:16:03 IST 2025, 0000:9b:00.0, 1, 477, 30, 0, 109807
Thu Jan 30 15:16:03 IST 2025, 0000:22:00.0, 6, 478, 29, 53, 109866
Thu Jan 30 15:16:03 IST 2025, 0000:ae:00.0, 2, 485, 29, 49, 109815
Thu Jan 30 15:16:03 IST 2025, 0000:35:00.0, 4, 485, 33, 53, 110066
Thu Jan 30 15:16:03 IST 2025, 0000:af:00.0, 3, 481, 32, 53, 111118
Thu Jan 30 15:16:03 IST 2025, 0000:34:00.0, 5, 478, 29, 53, 109897
Thu Jan 30 15:16:04 IST 2025, 0000:21:00.0, 7, 468, 31, 52, 109807
Thu Jan 30 15:16:04 IST 2025, 0000:9a:00.0, 0, 471, 33, 52, 109889
Thu Jan 30 15:16:04 IST 2025, 0000:9b:00.0, 1, 470, 30, 52, 110024
Thu Jan 30 15:16:04 IST 2025, 0000:22:00.0, 6, 460, 29, 53, 109999
Thu Jan 30 15:16:04 IST 2025, 0000:ae:00.0, 2, 478, 29, 53, 109986
Thu Jan 30 15:16:04 IST 2025, 0000:35:00.0, 4, 481, 33, 53, 109960
Thu Jan 30 15:16:04 IST 2025, 0000:af:00.0, 3, 473, 32, 53, 111036
Thu Jan 30 15:16:04 IST 2025, 0000:34:00.0, 5, 475, 29, 52, 109919
Thu Jan 30 15:16:05 IST 2025, 0000:21:00.0, 7, 395, 31, 43, 110042
Thu Jan 30 15:16:05 IST 2025, 0000:9a:00.0, 0, 369, 33, 49, 109793
Thu Jan 30 15:16:05 IST 2025, 0000:9b:00.0, 1, 384, 30, 50, 109819
Thu Jan 30 15:16:05 IST 2025, 0000:22:00.0, 6, 389, 29, 43, 109938
Thu Jan 30 15:16:05 IST 2025, 0000:ae:00.0, 2, 401, 29, 44, 109926
Thu Jan 30 15:16:05 IST 2025, 0000:35:00.0, 4, 393, 33, 43, 109891
Thu Jan 30 15:16:05 IST 2025, 0000:af:00.0, 3, 393, 32, 50, 110931
Thu Jan 30 15:16:05 IST 2025, 0000:34:00.0, 5, 375, 29, 48, 109832
Thu Jan 30 15:16:06 IST 2025, 0000:21:00.0, 7, 479, 31, 43, 109937
Thu Jan 30 15:16:06 IST 2025, 0000:9a:00.0, 0, 487, 33, 54, 109909
Thu Jan 30 15:16:06 IST 2025, 0000:9b:00.0, 1, 476, 30, 47, 109801
Thu Jan 30 15:16:06 IST 2025, 0000:22:00.0, 6, 479, 29, 53, 109828
Thu Jan 30 15:16:06 IST 2025, 0000:ae:00.0, 2, 481, 29, 53, 109866
Thu Jan 30 15:16:06 IST 2025, 0000:35:00.0, 4, 486, 33, 0, 109791
Thu Jan 30 15:16:06 IST 2025, 0000:af:00.0, 3, 481, 32, 45, 111076
Thu Jan 30 15:16:06 IST 2025, 0000:34:00.0, 5, 477, 29, 51, 109887
Thu Jan 30 15:16:07 IST 2025, 0000:21:00.0, 7, 477, 31, 53, 109866
Thu Jan 30 15:16:07 IST 2025, 0000:9a:00.0, 0, 485, 33, 53, 109801
